,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url,beginner_slopes,intermediate_slopes,difficult_slopes,t-bar_lifts,chairlifts,gondolas,snowpark,night_skiing,snow_cannons,country_iso,altitude_diff,total_slopes,season_start,season_end
28,True,Europe,United Kingdom,655.0,91.0,Nevis Range,December - April,36,https://ski-resort-stats.com/Nevis-range,7.0,10.0,3.0,8,3.0,1.0,False,False,,GBR,564.0,20.0,December,April
29,True,America,USA,3790.0,3286.0,Arapahoe Basin,October - June,83,https://ski-resort-stats.com/Arapahoe-Basin,40.0,25.0,40.0,2,5.0,0.0,True,False,,USA,504.0,105.0,October,June
30,True,Rest of the world,New Zealand,1943.0,1586.0,The Remarkables,June - October,74,https://ski-resort-stats.com/The-Remarkables,3.0,4.0,3.0,3,4.0,0.0,True,False,,NZL,357.0,10.0,June,October
31,True,Europe,Italy,1550.0,1082.0,Valchiavenna – Madesimo/Campodolcino,November - April,39,https://ski-resort-stats.com/valchiavenna-madesimo%E2%80%8Bcampodolcino,13.9,28.9,5.6,1,9.0,3.0,True,True,,ITA,468.0,48.4,November,April
32,True,Europe,Italy,2641.0,1176.0,La Thuile / La Rosière - Espace San Bernardo,December - April,43,https://ski-resort-stats.com/la-thuile-la-rosiere-espace-san-bernardo,55.0,83.0,22.0,21,18.0,1.0,True,False,,ITA,1465.0,160.0,December,April
33,True,Europe,Italy,2798.0,1816.0,Livigno – Carosello/Mottolino,November - May,46,https://ski-resort-stats.com/livigno-carosello%E2%80%8Bmottolino,30.0,65.0,20.0,25,13.0,6.0,True,True,,ITA,982.0,115.0,November,May
34,True,Europe,Italy,2504.0,770.0,Madonna di Campiglio-Pinzolo-Folgàrida-Marilleva,November - April,50,https://ski-resort-stats.com/madonna-di-campiglio-%E2%80%8Bpinzolo-%E2%80%8Bfolgarida-%E2%80%8Bmarilleva,60.0,68.0,22.0,14,34.0,17.0,True,True,,ITA,1734.0,150.0,November,April
35,True,Europe,Austria,1980.0,740.0,Wagrain (Ski amedé),November - April,52,https://ski-resort-stats.com/wagrain,30.0,81.0,4.0,22,16.0,11.0,True,False,600.0,AUT,1240.0,115.0,November,April
36,True,Europe,Austria,3108.0,2180.0,Kaunertal Glacier (Kaunertaler Gletscher),September - June,43,https://ski-resort-stats.com/kaunertal-glacier-kaunertaler-gletscher,14.8,4.3,2.7,6,2.0,1.0,False,False,,AUT,928.0,21.8,September,June
37,True,Europe,Austria,2096.0,830.0,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),November - April,53,https://ski-resort-stats.com/Saalbach,140.0,112.0,18.0,21,22.0,28.0,True,True,927.0,AUT,1266.0,270.0,November,April
38,True,Europe,Italy,2749.0,1372.0,Sestriere ski resort (Via Lattea),November - April,48,https://ski-resort-stats.com/sestriere-sauze-doulx%E2%80%8Bsan-sicario%E2%80%8Bclaviere%E2%80%8Bmontgenevre-via-lattea,96.0,220.0,84.0,29,35.0,7.0,False,True,,ITA,1377.0,400.0,November,April
39,True,Europe,Austria,1280.0,670.0,Reither Kogel-Reith im Alpbachtal,December - March,46,https://ski-resort-stats.com/reither-kogel-reith-im-alpbachtal,1.0,3.0,0.0,4,0.0,1.0,False,True,,AUT,610.0,4.0,December,March
40,True,America,Canada,2450.0,1190.0,Kicking Horse - Golden,December - April,67,https://ski-resort-stats.com/kicking-horse,20.0,20.0,60.0,1,3.0,1.0,False,False,10.0,CAN,1260.0,100.0,December,April
41,True,Europe,Andorra,2640.0,1710.0,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,November - April,47,https://ski-resort-stats.com/grandvalira-pas-de-la-casa%E2%80%8Bgrau-roig%E2%80%8Bsoldeu%E2%80%8Bel-tarter%E2%80%8Bcanillo%E2%80%8Bencamp,100.0,77.0,33.0,37,28.0,7.0,True,True,1032.0,AND,930.0,210.0,November,April
42,True,Europe,Switzerland,2490.0,1454.0,Rinerhorn (Davos Klosters),December - March,48,https://ski-resort-stats.com/rinerhorn-davos-klosters,10.0,22.7,8.2,6,0.0,1.0,True,False,14.0,CHE,1036.0,40.900000000000006,December,March
